CLAIMNUMBER,LOBCODE
030971971,10004
030971987,10004
030971998,10004
030972012,10004
030972014,10004
030972019,10004
030972022,10004
030972075,10004
030972076,10004
030972089,10004
030972124,10004
030972159,10004
030972178,10004
030972181,10004
030972183,10004
030972264,10004
030972265,10004
030972270,10004
030972272,10004
030972309,10004
030972344,10004
030972383,10004
030972391,10004
030972392,10004
030972413,10004
030972427,10004
030972436,10004
030972438,10004
030972445,10004
030972448,10004
030972456,10004
030972459,10004
030972468,10004
030972476,10004
030972532,10004
030972569,10004
030972589,10004
030972591,10004
030972601,10004
030972635,10004
030972644,10004
030972650,10004
030972652,10004
030972672,10004
030972675,10004
030972693,10004
030972735,10004
030972755,10004
030972764,10004
030972776,10004
030972782,10004
030972788,10004
030972800,10004
030972806,10004
030972820,10004
030972829,10004
030972831,10004
030972835,10004
030972838,10004
030972847,10004
030972889,10004
030972896,10004
030972936,10004
030972939,10004
030972953,10004
030972958,10004
030973008,10004
030973009,10004
030973053,10004
030973055,10004
030973078,10004
030973112,10004
030973116,10004
030973124,10004
030973143,10004
030973149,10004
030973168,10004
030973177,10004
030973187,10004
030973219,10004
030973236,10004
030973262,10004
030973288,10004
030973291,10004
030973292,10004
030973305,10004
030973328,10004
030973337,10004
030973341,10004
030973362,10004
030973363,10004
030973392,10004
030973418,10004
030973428,10004
030973450,10004
030973491,10004
030973515,10004
030973554,10004
030973559,10004
030973564,10004
030973568,10004
030973569,10004
030973607,10004
030973635,10004
030973689,10004
030973750,10004
030973755,10004
030973762,10004
030973799,10004
030973811,10004
030973844,10004
030973863,10004
030973872,10004
030973886,10004
030973892,10004
030973895,10004
030973907,10004
030973933,10004
030973952,10004
030973953,10004
030973970,10004
030973985,10004
030973988,10004
030973996,10004
030974004,10004
030974025,10004
030974042,10004
030974044,10004
030974069,10004
030974083,10004
030974096,10004
030974110,10004
030974124,10004
030974144,10004
030974208,10004
030974254,10004
030974281,10004
030974297,10004
030974302,10004
030974311,10004
030974312,10004
030974318,10004
030974325,10004
030974337,10004
030974361,10004
030974370,10004
030974423,10004
030974446,10004
030974449,10004
030974463,10004
030974483,10004
030974530,10004
030974585,10004
030974629,10004
030974630,10004
030974647,10004
030974651,10004
030974680,10004
030974724,10004
030974736,10004
030974737,10004
030974756,10004
030974769,10004
030974787,10004
030974788,10004
030974800,10004
030974805,10004
030974829,10004
030974869,10004
030974903,10004
030974932,10004
030974937,10004
030974960,10004
030974976,10004
030975014,10004
030975053,10004
030975074,10004
030975094,10004
030975113,10004
030975128,10004
030977213,10004
030977237,10004
030977240,10004
030977256,10004
030977265,10004
030977343,10004
030977352,10004
030977443,10004
030977444,10004
030977456,10004
030977473,10004
030977494,10004
030977509,10004
030977551,10004
030977556,10004
030977581,10004
030977582,10004
030977594,10004
030977612,10004
030977685,10004
030977699,10004
030977711,10004
030977733,10004
030977751,10004
030977764,10004
030977797,10004
030977798,10004
030977884,10004
030977886,10004
030977887,10004
030977903,10004
030977904,10004
030977931,10004
030977934,10004
030977937,10004
030977941,10004
030977946,10004
030977958,10004
030977963,10004
030977966,10004
030977970,10004
030977979,10004
030977990,10004
030978007,10004
030978019,10004
030978021,10004
030978043,10004
030978092,10004
030978135,10004
030978152,10004
030978153,10004
030978155,10004
030978162,10004
030978167,10004
030978169,10004
030978206,10004
030978213,10004
030978226,10004
030978228,10004
030978234,10004
030978242,10004
030978250,10004
030978268,10004
030978301,10004
030978342,10004
030978343,10004
030978349,10004
030978386,10004
030978391,10004
030978410,10004
030978430,10004
030978447,10004
030978496,10004
030978515,10004
030978520,10004
030978531,10004
030978579,10004
030978584,10004
030978590,10004
030978598,10004
030978601,10004
030978623,10004
030978689,10004
030978715,10004
030978741,10004
030978748,10004
030978753,10004
030978761,10004
030978763,10004
030978802,10004
030978809,10004
030978812,10004
030978849,10004
030978858,10004
030978922,10004
030978935,10004
030978937,10004
030978953,10004
030978976,10004
030978991,10004
030978995,10004
030978997,10004
030979028,10004
030979068,10004
030979075,10004
030979118,10004
030979151,10004
030979205,10004
030979223,10004
030979233,10004
030979246,10004
030979255,10004
030979258,10004
030979265,10004
030979273,10004
030979279,10004
030979305,10004
030979334,10004
030979368,10004
030979393,10004
030979478,10004
030979484,10004
030979495,10004
030979508,10004
030979567,10004
030979625,10004
030979642,10004
030979650,10004
030979651,10004
030979659,10004
030979695,10004
030979743,10004
030979785,10004
030979809,10004
030979815,10004
030979858,10004
030979907,10004
030979943,10004
030979995,10004
030980022,10004
030980058,10004
030980103,10004
030980186,10004
030980188,10004
030980192,10004
030980195,10004
030980202,10004
030980222,10004
030980234,10004
030980277,10004
030980283,10004
030980284,10004
030980287,10004
030980294,10004
030980355,10004
030980370,10004
030980374,10004
030980375,10004
030980401,10004
030980404,10004
030980406,10004
030980420,10004
030980424,10004
030980428,10004
030980432,10004
030980466,10004
030980472,10004
030980474,10004
030980486,10004
030980501,10004
