CLAIMNUMBER,LOBCODE
030956752,10004
030956823,10004
030956906,10004
030956936,10004
030956961,10004
030957028,10004
030957031,10004
030957037,10004
030957052,10004
030957067,10004
030957085,10004
030957088,10004
030957104,10004
030957124,10004
030957129,10004
030957177,10004
030957179,10004
030957183,10004
030957184,10004
030957212,10004
030957214,10004
030957226,10004
030957253,10004
030957281,10004
030957385,10004
030957400,10004
030957406,10004
030957416,10004
030957427,10004
030957465,10004
030957477,10004
030957487,10004
030957494,10004
030957503,10004
030958555,10004
030958581,10004
030958588,10004
030958595,10004
030958670,10004
030958676,10004
030958688,10004
030958771,10004
030958784,10004
030958807,10004
030958855,10004
030958894,10004
030958943,10004
030958986,10004
030959003,10004
030959004,10004
030959033,10004
030959055,10004
030959064,10004
030959065,10004
030959086,10004
030959122,10004
030959168,10004
030959176,10004
030959204,10004
030959298,10004
030959307,10004
030959311,10004
030959321,10004
030959364,10004
030959371,10004
030959399,10004
030959400,10004
030959426,10004
030959433,10004
030959466,10004
030959529,10004
030959534,10004
030959535,10004
030959555,10004
030959556,10004
030959564,10004
030959592,10004
030959607,10004
030959609,10004
030959660,10004
030959672,10004
030959674,10004
030959708,10004
030959737,10004
030959772,10004
030959779,10004
030959799,10004
030959890,10004
030959893,10004
030959902,10004
030959912,10004
030959924,10004
030959942,10004
030959965,10004
030959979,10004
030960007,10004
030960048,10004
030960067,10004
030960072,10004
030960085,10004
030960087,10004
030960108,10004
030960121,10004
030960126,10004
030960127,10004
030960131,10004
030960132,10004
030960135,10004
030960173,10004
030960190,10004
030960209,10004
030960217,10004
030960224,10004
030960252,10004
030960257,10004
030960282,10004
030960284,10004
030960300,10004
030960318,10004
030960323,10004
